date,open,close,volume
2017-09-26 12,3959.26,3953.95,2465435.8447496495
2017-09-26 13,3953.95,3945.62,3463099.0280942
2017-09-26 14,3946.91,3936.01,1476347.5861125984
2017-09-26 15,3936.01,3921.22,2290408.0791390003
2017-09-26 16,3925.01,3903.34,2789117.7978891167
2017-09-26 17,3903.34,3903.54,1135071.29878065
2017-09-26 18,3902.84,3910.33,786377.3226902972
2017-09-26 19,3910.34,3912.94,1347385.8830022102
2017-09-26 20,3908.32,3912.57,910258.1208280618
2017-09-26 21,3912.37,3910.06,677350.5298996082
2017-09-26 22,3910.0,3888.99,696377.1771281703
2017-09-26 23,3888.99,3880.0,787240.7804498449
2017-09-27 00,3887.59,3903.37,1014930.4163885545
2017-09-27 01,3903.37,3888.0,774657.3040194041
2017-09-27 02,3888.0,3905.39,821934.7942620304
2017-09-27 03,3902.13,3940.41,2807511.5987232397
2017-09-27 04,3935.09,3929.9,906174.40238162
2017-09-27 05,3929.9,3946.53,1522371.79317028
2017-09-27 06,3946.5,3930.88,1758933.9053938533
2017-09-27 07,3933.9,3939.81,1679136.1427788895
2017-09-27 08,3940.02,3934.0,1312058.562631693
2017-09-27 09,3931.76,3960.0,1814946.1988632604
2017-09-27 10,3959.99,4059.5,8914535.86990017
2017-09-27 11,4059.5,4069.56,5097186.492495552
2017-09-27 12,4071.0,4072.36,2251272.667181399
2017-09-27 13,4068.71,4065.72,2344016.5226647197
2017-09-27 14,4060.19,4095.0,2875634.1500135697
2017-09-27 15,4094.99,4070.72,2220838.354481119
2017-09-27 16,4071.0,4082.85,849645.5515328698
2017-09-27 17,4082.85,4087.37,988117.5478547501
2017-09-27 18,4087.37,4178.97,7931025.6038281005
2017-09-27 19,4175.54,4184.99,2660566.6037601
2017-09-27 20,4184.99,4151.02,1396696.81705772
2017-09-27 21,4153.77,4206.47,4142470.5800894955
2017-09-27 22,4206.47,4205.38,2977268.7558456506
2017-09-27 23,4205.38,4202.37,2125673.4227339528
2017-09-28 00,4205.27,4174.42,1548834.46831627
2017-09-28 01,4174.54,4175.04,1144004.80475409
2017-09-28 02,4174.28,4161.03,1143846.0896813946
2017-09-28 03,4161.0,4197.83,1161378.373179478
2017-09-28 04,4197.79,4245.0,2070951.3327580004
2017-09-28 05,4245.0,4227.82,1093372.3824845501
2017-09-28 06,4233.54,4229.98,965656.2572556841
2017-09-28 07,4229.01,4229.87,1628996.2132811304
2017-09-28 08,4229.87,4264.73,2737096.2391741504
2017-09-28 09,4260.0,4251.0,1627949.41058747
2017-09-28 10,4253.86,4160.5,3879642.207139501
2017-09-28 11,4158.11,4185.09,1401872.8711670695
2017-09-28 12,4183.14,4208.35,1142787.1146290489
2017-09-28 13,4206.66,4180.0,1795939.9729167926
2017-09-28 14,4180.0,4145.0,3858084.5358578623
2017-09-28 15,4145.82,4137.3,1904476.6385836396
2017-09-28 16,4139.98,4158.99,1547836.1013323073
2017-09-28 17,4159.0,4179.71,2388068.6698618
2017-09-28 18,4179.73,4144.63,1567364.5970955503
2017-09-28 19,4141.31,4145.43,1006446.06916431
2017-09-28 20,4145.45,4167.73,1579632.5045642017
2017-09-28 21,4167.74,4191.24,1989759.9393776674
2017-09-28 22,4184.52,4172.52,662051.2081150333
2017-09-28 23,4171.27,4180.3,469934.7875824979
2017-09-29 00,4177.41,4190.47,440334.9937141301
2017-09-29 01,4185.14,4147.06,1192890.091889148
2017-09-29 02,4148.02,4072.39,5617240.399231768
2017-09-29 03,4079.88,4062.6,5140715.4341957
2017-09-29 04,4062.61,4071.32,3061164.573707621
2017-09-29 05,4071.09,4037.32,2707881.9369076807
2017-09-29 06,4036.56,4051.0,1899098.7093684399
2017-09-29 07,4051.0,4094.37,3323146.0697034574
2017-09-29 08,4097.96,4113.47,2214423.554516267
2017-09-29 09,4113.46,4101.33,1231569.0017837593
2017-09-29 10,4101.37,4154.39,2129420.0259114946
2017-09-29 11,4154.39,4190.0,3287019.87120977
2017-09-29 12,4189.99,4207.41,2309416.2720516194
2017-09-29 13,4200.95,4175.0,1189883.928649586
2017-09-29 14,4179.68,4174.19,1563411.62698872
2017-09-29 15,4174.18,4181.37,933270.1996767101
2017-09-29 16,4187.0,4204.23,3311457.3210925204
2017-09-29 17,4204.22,4165.0,2467193.3499573763
2017-09-29 18,4165.0,4164.49,982561.9208831312
2017-09-29 19,4165.95,4163.53,1119241.9623468413
2017-09-29 20,4163.7,4181.22,1952478.9355299382
2017-09-29 21,4181.22,4176.39,648311.4519248739
2017-09-29 22,4173.65,4157.45,1045484.1234607882
2017-09-29 23,4156.95,4158.75,567575.7601289331
2017-09-30 00,4164.82,4176.08,483168.5514708701
2017-09-30 01,4176.08,4208.06,1553012.671041308
2017-09-30 02,4210.06,4206.89,503757.995548647
2017-09-30 03,4203.36,4188.99,691049.361029981
2017-09-30 04,4185.09,4202.6,492592.44571039
2017-09-30 05,4201.89,4224.95,1269064.6247587933
2017-09-30 06,4224.97,4279.52,5743910.262377218
2017-09-30 07,4275.41,4290.02,1649295.7843604733
2017-09-30 08,4290.0,4266.59,1160382.5035954996
2017-09-30 09,4267.89,4261.84,736673.437954059
2017-09-30 10,4261.98,4274.47,1152340.1320611143
2017-09-30 11,4288.51,4272.61,786975.209786625
2017-09-30 12,4272.24,4262.77,432474.18283075007
2017-09-30 13,4269.99,4273.59,747667.4306439377
2017-09-30 14,4276.1,4299.58,1451336.8915328358
2017-09-30 15,4299.58,4329.81,2963474.0518525317
2017-09-30 16,4323.35,4312.85,2822339.7714816895
2017-09-30 17,4312.0,4312.96,1012139.5079837969
2017-09-30 18,4312.96,4330.0,1817482.9422584602
2017-09-30 19,4330.0,4329.99,854741.4358039801
2017-09-30 20,4329.99,4315.88,1259523.2637125659
2017-09-30 21,4321.55,4311.3,1585462.0274577672
2017-09-30 22,4316.48,4319.54,661968.6548824467
2017-09-30 23,4324.99,4322.16,267187.11268606596
2017-10-01 00,4325.9,4313.09,889718.9936058364
2017-10-01 01,4312.84,4310.19,1580701.7055461134
2017-10-01 02,4313.63,4266.27,1383139.3144712795
2017-10-01 03,4266.13,4291.36,895089.3359210361
2017-10-01 04,4291.35,4288.05,966078.8490635178
2017-10-01 05,4286.3,4290.8,735588.3751887152
2017-10-01 06,4290.77,4295.0,543102.1195686505
2017-10-01 07,4290.43,4315.99,669599.151647052
2017-10-01 08,4315.99,4288.75,1448919.93138053
2017-10-01 09,4288.61,4281.64,1234940.6056574595
2017-10-01 10,4281.61,4293.0,622702.061176502
2017-10-01 11,4289.46,4270.01,1202514.702312315
2017-10-01 12,4272.02,4243.85,5735239.1671732785
2017-10-01 13,4243.0,4243.3,3140254.6768630003
2017-10-01 14,4243.3,4254.39,1072257.4274227999
2017-10-01 15,4254.39,4270.01,835771.1330016181
2017-10-01 16,4270.01,4273.89,708875.3404678717
2017-10-01 17,4273.89,4275.0,478274.212251381
2017-10-01 18,4275.0,4283.0,678032.8975932869
2017-10-01 19,4285.5,4290.0,598724.050086721
2017-10-01 20,4290.0,4319.95,1262051.6012244704
2017-10-01 21,4315.89,4326.0,711349.3663854452
2017-10-01 22,4325.97,4346.01,1992096.7086036073
2017-10-01 23,4341.61,4377.83,1479415.480856038
2017-10-02 00,4377.82,4416.5,2453139.8909534104
2017-10-02 01,4416.5,4393.7,882561.5773087433
2017-10-02 02,4393.7,4369.87,1431564.2633035209
2017-10-02 03,4369.87,4386.5,761234.0879617542
2017-10-02 04,4386.5,4376.94,830714.4384673417
2017-10-02 05,4380.99,4408.95,962270.7225912082
2017-10-02 06,4408.91,4408.0,1029897.4795345641
2017-10-02 07,4408.0,4382.94,1323688.52680196
2017-10-02 08,4384.27,4419.97,639911.777007451
2017-10-02 09,4420.87,4435.0,2401318.83548787
2017-10-02 10,4432.05,4436.0,968935.9391810918
2017-10-02 11,4440.57,4385.19,2410440.460753844
2017-10-02 12,4385.19,4379.5,2734703.4404990124
2017-10-02 13,4383.01,4402.7,2062542.68696442
2017-10-02 14,4402.7,4420.0,2072162.8172101895
2017-10-02 15,4422.32,4380.46,1594146.5882680102
2017-10-02 16,4380.49,4398.82,1196608.53705589
2017-10-02 17,4398.98,4373.01,1216818.1770356658
2017-10-02 18,4373.01,4372.58,1763961.7805988062
